timestamp,protocol,src_ip,dst_ip,packet_length,second,label
1770353712.388767,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.389548,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.389554,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.389628,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.389782,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.389788,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.389941,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.390277,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.390277,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.390285,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.390442,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39045,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.390605,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39077,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39077,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.390777,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.390926,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.390933,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.391013,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.392649,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.392649,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.392685,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.392753,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.392765,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.392847,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.392987,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.392995,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.393077,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.393348,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.393348,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39336,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.394616,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.394637,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.394708,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.394844,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.394854,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.394942,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.395716,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.395716,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39574,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.395891,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.395904,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.396015,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39624,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.39624,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.396257,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.396385,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.396395,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.396513,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.396684,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.396684,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.396691,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.397107,6,74.125.169.72,172.17.18.153,424,1770353712,DoS
1770353712.397114,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.398777,6,172.17.18.153,74.125.169.72,2235,1770353712,DoS
1770353712.398798,6,172.17.18.153,74.125.169.72,3465,1770353712,DoS
1770353712.405908,6,74.125.169.72,172.17.18.153,60,1770353712,DoS
1770353712.405908,6,74.125.169.72,172.17.18.153,60,1770353712,DoS
1770353712.431261,6,74.125.169.72,172.17.18.153,89,1770353712,DoS
1770353712.431261,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.431304,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.431396,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.431766,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.431766,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.431779,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
